Country,Code,ContinentCode,Year,Hospital beds,Hospital beds per 1000 people,Nurse to hospital bed ratio,Doctors per 1000 people,Nurses per 1000 people,Midwives per 1000 people,Midwives per 1000 live births,Dentists per 1000 people,Pharmacists per 1000 people,Physiotherapists per 1000 people,Computed tomography scanners per million people,Magnetic resonance imaging units per million people,Mammographs per million people
Australia,AUS,OC,1960,99191,9.65,,,,,,,,,,,
Australia,AUS,OC,1961,99670,9.48,,1.13,,,,,,,,,
Australia,AUS,OC,1962,100413,9.38,,,,,,,,,,,
Australia,AUS,OC,1963,102109,9.36,,,,,,,,,,,
Australia,AUS,OC,1964,102618,9.23,,1.23,,,,,,,,,
Australia,AUS,OC,1965,103580,9.13,,1.22,,,,,,,,,
Australia,AUS,OC,1966,103636,8.93,,1.23,,,,,,,,,
Australia,AUS,OC,1967,104262,8.84,,1.26,,,,,,,,,
Australia,AUS,OC,1968,103397,8.61,,1.24,,,,,,,,,
Australia,AUS,OC,1969,103064,8.4,,1.26,,,,,,,,,
Australia,AUS,OC,1970,103158,8.25,,1.33,,,,,,,,,
Australia,AUS,OC,1971,104292,7.98,,1.26,,,,,,,,,
Australia,AUS,OC,1972,105111,7.9,,1.38,,,,,,,,,
Australia,AUS,OC,1973,106386,7.88,,1.35,,,,,,,,,
Australia,AUS,OC,1974,109811,8,,1.42,,,,,,,,,
Australia,AUS,OC,1975,110374,7.94,,1.48,,,,,,,,,
Australia,AUS,OC,1976,111849,7.97,,1.64,,,,,,,,,
Australia,AUS,OC,1977,114944,8.1,,1.65,,,,,,,,,
Australia,AUS,OC,1978,115549,8.05,,1.85,,,,,,,,,
Australia,AUS,OC,1979,116156,8,,1.78,,,,,,,,,
Australia,AUS,OC,1980,115272,7.84,,1.85,10.33,,,,,,0.75,,
Australia,AUS,OC,1981,114231,7.65,,1.86,9.91,,,,,,1.01,,
Australia,AUS,OC,1982,112749,7.43,,1.9,9.85,,,,,,2.37,,
Australia,AUS,OC,1983,110808,7.2,,1.95,9.87,,,,,,4.09,,
Australia,AUS,OC,1984,108198,6.94,,1.83,9.91,,,,,,5.58,,
Australia,AUS,OC,1985,98534,6.24,,1.91,9.55,,,,,,8.17,,
Australia,AUS,OC,1986,,,,2.01,10.92,,,,0.69,,9.43,0.19,
Australia,AUS,OC,1987,94653,5.82,,2.06,11.37,,,,0.63,,10.45,0.31,
Australia,AUS,OC,1988,,,,2.1,11.6,,,,0.94,,,0.42,
